,Matrikkel / Org-Anr,Address,PostalCode,Area,Housing type,Primary room,Usable area,Gross area,Year of construction,Floor,Plot size,Last sold,Price,Joint debt at last sale,Total price at last sale,Number of rooms,Number of bedrooms,Registered date,Turnover rate,Broker,Postal code,Broker encoded,Housing type encoded,Balcony_Yes,Parking_Yes
12371,5001-103/775/0/0,Vestmarkbakken 9,7025,TRONDHEIM,Selveier enebolig,0,169,0,1969,0,816.0,2022-12-19,6250000,0.0,6250000.0,0,0,2022-12-19,0,Other,7025,8,4,0,0
12372,5001-74/83/0/0,Munins veg 5 A,7033,TRONDHEIM,Selveier enebolig,0,141,0,2022,0,322.5,2022-12-19,7505000,0.0,7505000.0,4,0,2022-12-19,0,Other,7033,8,4,0,0
12373,5001-522/79/0/5,Hallsetvegen 17 E,7540,KLÃ†BU,Selveier rekkehus,0,115,0,2022,0,0.0,2022-12-19,3998000,0.0,3998000.0,4,0,2022-12-19,0,Other,7540,8,5,0,0
12374,5001-126/12/0/0,RÃ¥vegen 15,7039,TRONDHEIM,Selveier enebolig,119,175,200,1965,0,1409.6,2022-12-19,2700000,0.0,2700000.0,0,3,2022-12-08,11,Heimdal Eiendomsmegling,7039,4,4,0,0
12375,5001-17/613/0/1,Granvegen 2 D,7058,CHARLOTTENLUND,Selveier tomannsbolig,128,133,148,1996,0,0.0,2022-12-19,5500000,0.0,5500000.0,4,3,2022-10-14,66,Eiendomsmegler 1,7058,3,6,1,0
12376,5001-412/442/0/20,Lade alle 98,7041,TRONDHEIM,Selveierleilighet,0,72,0,2022,2,1328.6,2022-12-19,4190000,0.0,4190000.0,3,0,2022-12-19,0,Other,7041,8,7,0,0
12377,5001-97/118/0/0,Munkvollvegen 69,7022,TRONDHEIM,Selveier enebolig,144,186,205,1964,0,1213.5,2022-12-19,6650000,0.0,6650000.0,0,4,2022-06-22,180,EIE Eiendomsmegling,7022,2,4,0,1
12378,5001-412/442/0/3,Lade alle 96,7041,TRONDHEIM,Selveierleilighet,0,26,0,2022,1,1328.6,2022-12-19,5090000,0.0,5090000.0,1,0,2022-12-19,0,Other,7041,8,7,0,0
12379,5001-412/442/0/1,Lade alle 96,7041,TRONDHEIM,Selveierleilighet,0,83,0,2022,1,1328.6,2022-12-19,2190000,0.0,2190000.0,3,0,2022-12-19,0,Other,7041,8,7,0,0
12380,5001-17/994/0/61,Strindfjordvegen 27 C,7053,RANHEIM,Selveierleilighet,0,63,0,2021,2,3933.5,2022-12-19,4400000,0.0,4400000.0,3,0,2022-12-19,0,Other,7053,8,7,0,0
12381,954992918/66,KolsÃ¥sen 13 B,7079,FLATÃ…SEN,Borettslag rekkehus,102,117,0,1978,0,36018.3,2022-12-20,3500000,162924.0,3662924.0,4,3,2022-12-20,0,Eiendomsmegler 1,7079,3,1,0,0
